name,state,address,address2,city,county,country,lat,lng
Dunkin Donuts,NY,3068 E. Henrietta Rd,,Henrietta,,US,43.059652,-77.611542
Dunkin Donuts,NY,2740 W. Henrietta Rd,,Rochester,,US,43.096869,-77.631485
Dunkin Donuts,NY,942 Jefferson Rd,,Henrietta,,US,43.087362,-77.611948
Dunkin Donuts,NY,1300 Scottsville Rd,,Rochester,,US,43.115365,-77.663128
Dunkin Donuts,NY,3152 Chili Ave,,Rochester,,US,43.108458,-77.744625
Dunkin Donuts,NY,1200 Brooks Ave,,Rochester,,US,43.127840,-77.664180
Dunkin Donuts,NY,2150 Chili Ave,Wal*Mart,Rochester,,US,43.132503,-77.688257
Dunkin Donuts,NY,1500 Mount Hope Ave,,Rochester,,US,43.120943,-77.619005
Dunkin Donuts,NY,1482 Buffalo Rd,,Westgate,,US,43.149962,-77.690437
Dunkin Donuts,NY,1760 Monroe Ave,,Rochester,,US,43.128907,-77.567160
Dunkin Donuts,NY,300 Monroe Ave,,Rochester,,US,43.149102,-77.597996
Dunkin Donuts,NY,573 Lyell Ave,,Rochester,,US,43.164566,-77.647488
Dunkin Donuts,NY,1691 East Ave,,Rochester,,US,43.146112,-77.559997
Dunkin Donuts,NY,741 Lake Ave,,Rochester,,US,43.178639,-77.631821
Dunkin Donuts,NY,277 Ridge Rd E,,Rochester,,US,43.194472,-77.610856
Dunkin Donuts,NY,933 W. Ridge Rd,,Rochester,,US,43.202810,-77.651420
Dunkin Donuts,NY,1311 Fairport Rd,,Fairport,,US,43.101323,-77.461862
Dunkin Donuts,NY,1802 Penfield Rd,,Penfield,,US,43.129332,-77.477781
Dunkin Donuts,NY,2781 Lakeville Rd,,Avon,,US,42.865944,-77.712621
Dunkin Donuts,NY,2255 Hudson Ave,,Irondequoit,,US,43.209430,-77.601306
Dunkin Donuts,NY,1090 Long Pond Road,,Rochester,,US,43.223855,-77.696568
Dunkin Donuts,NY,650 Moseley Rd,,Fairport,,US,43.068900,-77.441709
Dunkin Donuts,NY,3665 Dewey Avenue,,Greece,,US,43.236785,-77.647287
Dunkin Donuts,NY,1841 Empire Blvd,,Webster,,US,43.187790,-77.506012
Dunkin Donuts,NY,2055 Fairport Nine Mile Point,,Penfield,,US,43.133911,-77.441992
Dunkin Donuts,NY,2100 Empire Blvd,,Webster,,US,43.196992,-77.498866
Dunkin Donuts,NY,167 West Main St,,Victor,,US,42.984768,-77.414850
Dunkin Donuts,NY,2044 Latta Rd,,Rochester,,US,43.253298,-77.666082
Dunkin Donuts,NY,873 Holt Rd,,Webster,,US,43.216561,-77.447273
Dunkin Donuts,NY,4310 Lakeville Rd,,Geneseo,,US,42.800181,-77.781377
Dunkin Donuts,NY,1297 Route 332,,Farmington,,US,42.973095,-77.353651
Dunkin Donuts,NY,62 North Ave,,Webster,,US,43.213887,-77.430361
Dunkin Donuts,NY,1231 State Route 31,,Macedon,,US,43.064737,-77.318780
Dunkin Donuts,NY,6250 Furnace Rd,,Ontario,,US,43.226727,-77.281649
Dunkin Donuts,NY,4202 Recreation Dr,Wal Mart,Canandaigua,,US,42.877862,-77.241061
Dunkin Donuts,NY,136 W Main St,,Batavia,,US,42.999953,-78.191044
Dunkin Donuts,NY,242 E Union St,,Newark,,US,43.047087,-77.089680
Dunkin Donuts,NY,9475 Airport Plaza,,Dansville,,US,42.568402,-77.717670
Dunkin Donuts,NY,1399 Nine Foot Rd,,Phelps,,US,42.959191,-76.917655
Dunkin Donuts,NY,203 Lake St,,Penn Yan,,US,42.656480,-77.056062
Dunkin Donuts,NY,1050 State Route 36,,Hornell,,US,42.349793,-77.668934
Dunkin Donuts,NY,9430 Main St,,Clarence,,US,42.972017,-78.639143
Dunkin Donuts,NY,230 Main St,,East Aurora,,US,42.768067,-78.626168
Dunkin Donuts,NY,6800 Transit Rd,,Williamsville,,US,42.952757,-78.697651
Dunkin Donuts,NY,5696 S. Transit Rd,,Lockport,,US,43.148502,-78.697343
Dunkin Donuts,NY,5090 Genesee St,,Cheektowaga,,US,42.937983,-78.698093
Dunkin Donuts,NY,5760 Transit Rd,,Depew,,US,42.912162,-78.697200
Dunkin Donuts,NY,4891 Transit Rd,,Depew,,US,42.876732,-78.696663
Dunkin Donuts,NY,55 Cross Point Pkwy,Suite 100,Amherst,,US,43.036087,-78.750268
Dunkin Donuts,NY,727 Maple Rd,,Amherst,,US,42.990690,-78.760343
Dunkin Donuts,NY,4395 Union Rd,,Cheektowaga,,US,42.932902,-78.754065
Dunkin Donuts,NY,2285 Walden Ave,Delta Sonic,Cheektowaga,,US,42.907173,-78.752384
Dunkin Donuts,NY,3501 Union Rd,State Rt 277,Cheektowaga,,US,42.909304,-78.753848
Dunkin Donuts,NY,1145 Union Rd,,West Seneca,,US,42.830882,-78.753454
Dunkin Donuts,NY,3640 Main St,,Amherst,,US,42.959542,-78.814377
Dunkin Donuts,NY,2112 Niagara Falls Blvd,,Tonawanda,,US,43.011809,-78.822473
Dunkin Donuts,NY,1355 Niagara Falls Blvd,Rte 62,Amherst,,US,42.991300,-78.821150
Dunkin Donuts,NY,2 E Genesee St,,Auburn,,US,42.932984,-76.563505
Dunkin Donuts,NY,2155 Eggert Rd,,Amherst,,US,42.979770,-78.822327
Dunkin Donuts,NY,149 Grant Ave,,Auburn,,US,42.944125,-76.551475
Dunkin Donuts,NY,3821 Lockport Rd,,Sanborn,,US,43.128229,-78.837744
Dunkin Donuts,NY,2200 Sheridan Dr,,Tonawanda,,US,42.981030,-78.852770
Dunkin Donuts,NY,3155 Delaware Ave,,Kenmore,,US,42.970351,-78.870541
Dunkin Donuts,NY,255 Meadow Dr,,North Tonawanda,,US,43.052199,-78.877088
Dunkin Donuts,NY,2340 Delaware Ave,,Buffalo,,US,42.947447,-78.869421
Dunkin Donuts,NY,1264 Main St,Delta-Sonic,Buffalo,,US,42.907823,-78.867251
Dunkin Donuts,NY,598 Main St,,Buffalo,,US,42.890209,-78.873211
Dunkin Donuts,NY,311 S. Franklin St,,Watkins Glen,,US,42.373362,-76.869935
Dunkin Donuts,NY,2260 Niagara Falls Boulevard,,Niagara Falls,,US,43.098792,-78.926761
Dunkin Donuts,NY,565 West Main St,,Springville,,US,42.509404,-78.688207
Dunkin Donuts,NY,2560 Youngstown Lockport Rd,,Ransomville,,US,43.238053,-78.908925
Dunkin Donuts,NY,255 West Seneca Street,,Oswego,,US,43.452968,-76.530612
Dunkin Donuts,NY,1900 Military Rd,Prime Outlet At Niagara Falls,Niagara Falls,,US,43.097586,-78.975554
Dunkin Donuts,NY,38 W. Dyke St.,,Wellsville,,US,42.116872,-77.941111
Dunkin Donuts,NY,6601 Niagara Falls Blvd,,Niagara Falls,,US,43.088833,-78.987819
Dunkin Donuts,NY,9 W 1st St S,,Fulton,,US,43.323982,-76.423020
Dunkin Donuts,NY,105 State Route 104,,Oswego,,US,43.460728,-76.490383
Dunkin Donuts,NY,314 S 2nd St,,Fulton,,US,43.317575,-76.412344
Dunkin Donuts,NY,2244 Downer St,,Baldwinsville,,US,43.151150,-76.351346
Dunkin Donuts,NY,34 E Genesee St,,Baldwinsville,,US,43.158906,-76.328389
Dunkin Donuts,NY,125 Conhocton St,,Corning,,US,42.140221,-77.040543
Dunkin Donuts,NY,5300 W. Genesee St,,Camillus,,US,43.041349,-76.269098
Dunkin Donuts,NY,205 S. Meadow St,,Ithaca,,US,42.438241,-76.508388
Dunkin Donuts,NY,3317 Chambers Rd,,Horseheads,,US,42.160476,-76.878552
Dunkin Donuts,NY,3336 W Genesee St,,Syracuse,,US,43.048597,-76.229232
